cz,czname,pop2000,stateabbrv,year,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,sd_le_agg_q1_F,sd_le_raceadj_q1_F,sd_le_agg_q2_F,sd_le_raceadj_q2_F,sd_le_agg_q3_F,sd_le_raceadj_q3_F,sd_le_agg_q4_F,sd_le_raceadj_q4_F,sd_le_agg_q1_M,sd_le_raceadj_q1_M,sd_le_agg_q2_M,sd_le_raceadj_q2_M,sd_le_agg_q3_M,sd_le_raceadj_q3_M,sd_le_agg_q4_M,sd_le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
900,Charlotte,1423942,NC,2013,80.115936,81.072754,86.105377,86.506042,84.516243,84.837769,89.113022,89.274948,75.447899,76.443214,79.280807,79.909546,84.186455,84.537659,86.721169,86.988777,1.2080641,1.1785187,1.3840202,1.3314364,1.7213918,1.6724296,1.6040807,1.544188,.95050311,.94880885,1.3737934,1.3497264,1.3661641,1.3217885,1.5476817,1.483835,73377,74144,68068,74536,65782,66027,64578,73267
900,Charlotte,1423942,NC,2014,82.827095,83.676941,86.167503,86.567551,89.244614,89.410751,85.605873,85.903717,76.247658,77.216782,79.18734,79.816093,81.604912,82.035149,88.675415,88.86692,1.0734937,1.0284063,1.2391288,1.1931098,1.1931944,1.1573889,2.6301682,2.5512011,1.019964,1.0230069,1.3782303,1.3564408,1.6034988,1.5664914,1.2674083,1.2071964,71727,73385,66803,72365,64249,65399,62861,71682
1400,Fayetteville,644101,NC,2001,77.425301,78.141739,80.226875,80.820297,78.506538,79.046402,86.225441,86.560158,71.421951,72.339325,81.397629,82.008324,80.568321,81.120987,89.614952,89.805634,1.9938374,1.9682673,2.7358057,2.680048,2.9761581,2.9565372,3.4708881,3.363013,1.1888224,1.2228544,2.1362948,2.0825667,2.6638267,2.619997,1.7977568,1.7170846,28607,22239,19516,12146,23141,23034,18507,10935
1400,Fayetteville,644101,NC,2002,81.672935,82.320564,83.626709,84.151367,78.737442,79.305328,88.140144,88.395416,75.639534,76.630295,78.457428,79.146645,82.46756,82.988029,90.473053,90.625092,1.9999737,1.9592174,2.3082783,2.2374845,2.7405736,2.7108254,2.7993083,2.6956789,1.5547258,1.5490016,2.0574255,2.0302558,2.4704926,2.4069719,1.7803768,1.6993996,30459,22561,19483,11886,24396,23254,18738,10671
1400,Fayetteville,644101,NC,2003,78.980164,79.716377,83.105904,83.652534,81.486694,82.008774,90.418053,90.581619,72.525101,73.512291,75.950691,76.645309,86.647743,87.01667,87.762863,88.042946,1.9325963,1.8946093,2.5326521,2.454617,2.8233798,2.7554524,2.0960321,2.0111048,1.3068275,1.3374085,1.9326423,1.9471862,2.0040812,1.9270713,2.1506848,2.0591371,30976,22683,19912,11980,24966,23277,19063,10689
1400,Fayetteville,644101,NC,2004,82.123367,82.824043,84.14225,84.680428,81.760216,82.27108,87.490288,87.787064,75.618088,76.654823,78.100136,78.83979,82.360817,82.917427,86.866272,87.204094,1.7363386,1.6978109,2.2618382,2.1876402,3.1310413,3.0653033,3.2092617,3.0966744,1.5153892,1.5114872,2.0941548,2.0747738,2.3844085,2.3175607,2.7129261,2.6042709,31375,23149,19920,12302,25218,23497,19140,11100
1400,Fayetteville,644101,NC,2005,77.981667,78.765358,83.196472,83.764725,82.664444,83.168243,87.781509,88.073616,72.424812,73.447159,76.959396,77.737549,80.754929,81.374008,79.242775,79.799461,1.8962148,1.8751763,2.7771106,2.690196,2.9881043,2.9134705,3.4832118,3.3615847,1.2165185,1.251395,2.0441482,2.0443218,2.4108903,2.3647659,3.8310587,3.8358107,32066,23360,19921,12591,25553,23707,19420,11426
1400,Fayetteville,644101,NC,2006,79.8526,80.601974,87.604836,88.033028,81.629295,82.170959,87.48671,87.793198,76.725029,77.803001,77.986725,78.76796,81.605637,82.203995,89.558319,89.774254,1.9581168,1.9222013,1.4476929,1.3830744,2.9718728,2.8978717,3.6268735,3.5052917,1.4494264,1.4390787,2.0534792,2.043613,2.4955907,2.4333887,2.5056634,2.3934934,32508,23813,20231,12720,26025,23874,19504,11756
1400,Fayetteville,644101,NC,2007,83.916206,84.571434,80.067665,80.789619,79.211403,79.792213,86.130867,86.503159,77.098167,78.141823,80.413528,81.171288,82.949898,83.507034,84.467392,84.946411,1.6256441,1.5834056,2.4470887,2.406986,3.1426804,3.1249306,4.5509305,4.4410968,1.5006514,1.4853016,2.0465944,1.998427,2.634171,2.5607738,4.9282293,4.8498368,33309,24233,20203,12953,26725,23649,19592,11964
1400,Fayetteville,644101,NC,2008,84.859596,85.506958,84.113708,84.723175,83.681824,84.158638,92.748657,92.820526,73.568542,74.659241,84.248405,84.874435,84.621452,85.133423,86.94075,87.306145,1.4598669,1.4172217,2.2480092,2.1634145,3.6303346,3.535589,1.5838927,1.514379,1.3237244,1.3568542,1.9483618,1.8618208,2.8460205,2.7527218,2.5204155,2.4024127,33787,24689,20506,13100,26652,24135,19917,12136
